,,,,,a,b,c = d / (1 - d),d,e = d / (1 + a),"f = e x 4,5%",g = d x 0%,h,i = -b,j = e + f + g + h + i,k = j / e,,,,,,,,,,,,,,,,,,,,,,,
T/C:,"1,500.00",,,,,,,PRECIO PROMO,POR UNIDAD,,,,,,,,MARGEN NEGOCIO,,,,,,,,,,,,,,,,,,,,,
,,,,SIN IVA,,SIN IVA,,25.00%,,4.50%,,,,,,,"1,587","17,122,767","1,370,090",8.0%,,,,,,,,,,,,,,,,,,
COD. UNPO,DESCRIPCION,CATEGORIA,KG,COTO UNIT TOTAL USD,%IVA,COTO UNIT AR$,% DESC.ADIC.,PRECIO 25% MENOR A LISTA MELI CON IVA,PRECIO SIN IVA,IIBB,COMISION,,COTO UNIT AR$,MARGEN AR$,%MARGEN,,UNIDADES,FACT AR$,MARGEN,%,,,,,,,,,,,,,,,,,ORIGEN,FAMILIA
010100001,"SET DE VALIJAS URBAN MODE SOFT NEGRO 20"" 24"" 28"" DOBLE RUEDA, CON CANDADO SIMIL TSA X1U",VALIJA,10.00,,21.0%,"147,891.50",,"226,175.69","186,922.06","(8,411.49)",0.00,,"(147,891.50)","30,619",16.4%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,01,01
010100002,"SET DE VALIJAS SKORA PINK SOFT SIMIL NYLON NEGRO 20""""24""""28"""" RUEDA SIMPLE X1U",VALIJA,10.00,,21.0%,"145,341.50",,"222,286.41","183,707.77","(8,266.85)",0.00,,"(145,341.50)","30,099",16.4%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,02,02
010200003,COVER PARA PALETA PADDLE ACTIVE LIMITLESS 50X30X3.5 CM X1U,MARROQUINERIA,0.25,,21.0%,"7,920.00",30%,"10,465.90","8,649.50",(389.23),0.00,,"(7,920.00)",340,3.9%,,12,"103,794.06","4,083",3.9%,,,,,,,,,,,,,,,,,03,03
010200004,MOCHILA CARRO GOODPAK GRIS 43X30X17 CM 17 PULG X1U,MARROQUINERIA,0.95,,21.0%,"15,999.20",,"32,004.89","26,450.32","(1,190.26)",0.00,,"(15,999.20)","9,261",35.0%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,04
010200005,MOCHILA CARRO GOODPAK PRINT CAMUFLADO 43X30X17 CM 17 PULG X1U,MARROQUINERIA,0.95,,21.0%,"17,599.20",,"34,387.95","28,419.79","(1,278.89)",0.00,,"(17,599.20)","9,542",33.6%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,05
010200006,BOLSO DEPORTIVO ACTIVE 61X30X25 CM 24 PULG. X1 U,MARROQUINERIA,1.00,,21.0%,"11,992.00",25%,"16,065.34","13,277.14",(597.47),0.00,,"(11,992.00)",688,5.2%,,33,"438,145.71","22,693",5.2%,,,,,,,,,,,,,,,,,,06
010200007,"BOLSO MATERO GOODPAK MILITAR CON CIERRE PLÁSTICO, DETALLES EN COLOR NEGRO, CORREA REGULABLE Y BOLSI",MARROQUINERIA,0.25,,21.0%,"6,392.00",,"12,841.13","10,612.50",(477.56),0.00,,"(6,392.00)","3,743",35.3%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,07
